service_id,service_name,category,unit,informdata_cost,automation_spend,platform_overhead,pass_through_cost,internal_cost,total_cost,currency,competitor_name,analogous_service_name,msrp_amount,msrp_currency,price_delta,recommended_price,recommended_margin,pricing_notes,use_cases,compliance_notes,pass_through,evidence_url,observed_date,cost_notes,competitor_notes
MED_EX_COMPLETE_MONITORING,Med Ex Complete Monitoring,Core Service,per_subject_month,2.65,0.0,0.0,0.0,2.65,2.65,USD,GoodHire,Healthcare Sanctions Monitoring (Level 3 + Alerts),5.99,USD,3.34,5.49,2.84,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,"Enterprise-grade sanctions monitoring covering national, state, and abuse registries.",,False,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,,Ongoing alerts typically quote-based; placeholder uses published start price.
MED_EX_PLUS,Med Ex Plus,Core Service,per_subject,1.9,0.0,0.0,0.0,1.9,1.9,USD,GoodHire,Healthcare Sanctions Search (Level 1),5.99,USD,4.09,5.49,3.59,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Healthcare exclusion search to meet OIG/SAM screening obligations.,OIG/SAM exclusion screening required for Medicare/Medicaid billing; document results for audits.,False,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,per subject,Base add-on rate for healthcare sanctions search.
MED_EX_PLUS_MONITORING,Med Ex Plus Monitoring,Core Service,per_subject_month,2.3,0.0,0.0,0.0,2.3,2.3,USD,GoodHire,Healthcare Sanctions Alerts,5.99,USD,3.69,5.49,3.19,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Monthly sanctions monitoring for clinics/hospitals needing continuous compliance.,Ensure HIPAA/BAA coverage for automated monitoring of provider rosters.,False,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,,Published starting rate; ongoing alerts typically quote-based.
MED_EX_PRO,Med Ex Pro,Core Service,per_subject,3.15,0.0,0.0,0.0,3.15,3.15,USD,GoodHire,Healthcare Sanctions Search (Level 2),5.99,USD,2.84,5.49,2.34,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Expanded sanctions search including state boards and disciplinary actions for advanced practitioners.,Include state board checks; confirm disciplinary actions before adverse action.,False,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,,Tiered pricing; public rate reflects entry-level add-on.
MED_EX_PRO_MONITORING,Med Ex  Pro Monitoring,Core Service,per_subject_month,2.55,0.0,0.0,0.0,2.55,2.55,USD,GoodHire,Healthcare Sanctions Monitoring (Level 3),5.99,USD,3.44,5.49,2.94,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,High-frequency monitoring for telehealth networks or multi-state provider rosters.,,False,https://www.bestreviewguide.com/en/reviews/services/best-background-check/goodhire-review/,2025-10-30,,Volume/level pricing quoted; placeholder uses published base price.
MVR_CDLIS,MVR CDLIS,Core Service,per_search,2.95,0.0,0.0,0.0,2.95,2.95,USD,Checkr,Commercial MVR + CDLIS,14.5,USD,11.55,13.77,10.82,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Commercial driver screening with CDLIS lookup for DOT-regulated fleets.,FMCSA 391.23 for commercial drivers; CDLIS only available to DOT-regulated employers.,False,https://checkr.com/pricing,2025-10-30,,DOT-oriented MVR bundle with CDLIS data.
MVR_STANDARD,MVR,Core Service,per_search,2.95,0.0,0.0,0.0,2.95,2.95,USD,Checkr,Motor Vehicle Record (MVR),9.5,USD,6.55,9.0,6.05,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Standard MVR for fleets/delivery to satisfy DOT/FMCSA pull requirements.,DPPA/DOT: driver consent required; comply with FMCSA retention schedules and state re-disclosure rules.,False,https://checkr.com/pricing,2025-10-30,,Per-pull driver record pricing.
NAT_CRIMINAL,NAT Criminal,Core Service,per_subject,0.85,0.0,0.0,0.0,0.85,0.85,USD,Checkr,Basic+ package (National Criminal),29.99,USD,29.14,28.49,27.64,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,National database search for high-volume hiring funnels; pair with county confirms for adjudication.,Use as pointer search; confirm hits with county/state records before adjudication per PBSA guidelines.,False,https://checkr.com/pricing,2025-10-30,per subject,Published Basic+ bundle pricing.
SOR_PLUS,SOR+,Core Service,per_search,0.8,0.0,0.0,0.0,0.8,0.8,USD,Checkr,Basic+ package (Sex Offender Registry),29.99,USD,29.19,28.49,27.69,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,"Standalone sex offender registry search for regulated industries (childcare, education, healthcare).",,False,https://checkr.com/pricing,2025-10-30,,Published Basic+ bundle; includes SSN trace and national criminal search.
SSN_TRACE,SSN Trace,Core Service,per_search,0.25,0.0,0.0,0.0,0.25,0.25,USD,Checkr,Basic+ package (SSN Trace),29.99,USD,29.74,28.49,28.24,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Identity validation + alias discovery to determine downstream court searches.,Identity/authentication check; do not take adverse action solely on SSN trace results (FCRA).,False,https://checkr.com/pricing,2025-10-30,,Included within Basic+ bundle; no standalone price disclosed.
VERIFICATIONS,Verifications,Core Service,per_subject_call,6.25,0.0,0.0,0.0,6.25,6.25,USD,Checkr,Employment Verification,12.5,USD,6.25,11.88,5.63,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Employment/education verification when candidates hold sensitive roles or credentials.,,False,https://checkr.com/pricing,2025-10-30,per subject per call,Per employer verification.
